RowID,Service,Service Center,State,Postal Code,Address,Latitude,Longitude,Service Details URL,Data As On
SVC1022,Solid waste services,Cleanaway Bohle - Solid Waste Services,QLD,4818,"77-97 Enterprise Street, Bohle, QLD, 4818",-19.254777104275867,146.71348655131737,https://www.cleanaway.com.au/location/bohle-2/,2024-08-09 13:08:18
SVC1023,Solid waste services,Cleanaway Bowen - Solid Waste Services,QLD,4805,"Reynolds St &, Norris St, Bowen QLD 4805",-20.011933975163764,148.23199791201196,https://www.cleanaway.com.au/location/bowen/,2024-08-09 13:08:22
SVC1024,Solid waste services,Cleanaway Brooklyn Resource Recovery Centre,VIC,3012,"174 Old Geelong Road, Brooklyn, VIC, 3012",-37.81864883651084,144.82808276413695,https://www.cleanaway.com.au/location/brooklyn/,2024-08-09 13:08:24
SVC1025,Solid waste services,Cleanaway Broome Solids Waste Services,WA,6725,"18 Archer St, Broome, WA, 6725",-17.981996102562615,122.20599838161814,https://www.cleanaway.com.au/location/broome/,2024-08-09 13:08:29
SVC1026,Solid waste services,Cleanaway Buckley Grove Moolap Depot,VIC,3224,"61-65 Buckley Grove, Moolap, VIC 3224",-38.16508975539242,144.42933521027365,https://www.cleanaway.com.au/location/buckley-grove-moolap/,2024-08-09 13:08:35
SVC1027,Solid waste services,Cleanaway Bundaberg East - Solid Waste Services,QLD,4670,"Shed 7 - No. 9 Steptoe Street, East Bundaberg, QLD, 4670",-24.864322017617887,152.37487465319953,https://www.cleanaway.com.au/location/bundaberg-2/,2024-08-09 13:08:38
SVC1028,Liquid waste services,Cleanaway Bundaberg Liquid Waste Services,QLD,4670,"46 University Drive, Bundaberg, QLD, 4670",-24.898466154218628,152.30921473282476,https://www.cleanaway.com.au/location/bundaberg/,2024-08-09 13:08:42
SVC1029,Industrial waste services,Cleanaway Burleigh Heads Industrial Waste Services,QLD,4220,"11 Alex Fisher Drive, Burleigh Heads, QLD, 4220",-28.104142115144693,153.4085124092492,https://www.cleanaway.com.au/location/burleigh-heads/,2024-08-09 13:08:48
SVC1030,Liquid waste services,Cleanaway Cairns - Woree Liquid Waste Services,QLD,4868,"44-46 Links Dr, Woree, QLD, 4868",-16.957918274408513,145.75211073879282,https://www.cleanaway.com.au/location/woree/,2024-08-09 13:08:53
SVC1031,Office,Cairns Greenbank Rd,QLD,4870,"63 Greenbank Road, Stratford, QLD, 4870",-16.8695734,145.7404056,https://www.cleanaway.com.au/location/cairns-greenbank-rd/,2024-08-09 13:08:57
