id,service_name,address,latitude,longitude,services_offered,details_url,scrape_ts,state,postcode
SVC1023,Cleanaway Bowen - Solid Waste Services,"Reynolds St &, Norris St, Bowen QLD 4805",-20.011933975163764,148.23199791201196,Solid waste services,https://www.cleanaway.com.au/location/bowen/,2024-07-26 00:06:49,QLD,4805
SVC1024,Cleanaway Brooklyn Resource Recovery Centre,"174 Old Geelong Road, Brooklyn, VIC, 3012",-37.81864883651084,144.82808276413695,Solid waste services,https://www.cleanaway.com.au/location/brooklyn/,2024-07-26 00:06:56,VIC,3012
SVC1025,Cleanaway Broome Solids Waste Services,"18 Archer St, Broome, WA, 6725",-17.981996102562615,122.20599838161814,Solid waste services,https://www.cleanaway.com.au/location/broome/,2024-07-26 00:07:01,WA,6725
SVC1026,Cleanaway Buckley Grove Moolap Depot,"61-65 Buckley Grove, Moolap, VIC 3224",-38.16508975539242,144.42933521027365,Solid waste services,https://www.cleanaway.com.au/location/buckley-grove-moolap/,2024-07-26 00:07:08,VIC,3224
SVC1027,Cleanaway Bundaberg East - Solid Waste Services,"Shed 7 - No. 9 Steptoe Street, East Bundaberg, QLD, 4670",-24.864322017617887,152.37487465319953,Solid waste services,https://www.cleanaway.com.au/location/bundaberg-2/,2024-07-26 00:07:17,QLD,4670
SVC1028,Cleanaway Bundaberg Liquid Waste Services,"46 University Drive, Bundaberg, QLD, 4670",-24.898466154218628,152.30921473282476,Liquid waste services,https://www.cleanaway.com.au/location/bundaberg/,2024-07-26 00:07:24,QLD,4670
SVC1029,Cleanaway Burleigh Heads Industrial Waste Services,"11 Alex Fisher Drive, Burleigh Heads, QLD, 4220",-28.104142115144693,153.4085124092492,Industrial waste services,https://www.cleanaway.com.au/location/burleigh-heads/,2024-07-26 00:07:31,QLD,4220
SVC1030,Cleanaway Cairns - Woree Liquid Waste Services,"44-46 Links Dr, Woree, QLD, 4868",-16.957918274408513,145.75211073879282,Liquid waste services,https://www.cleanaway.com.au/location/woree/,2024-07-26 00:07:40,QLD,4868
SVC1031,Cairns Greenbank Rd,"63 Greenbank Road, Stratford, QLD, 4870",-16.8695734,145.7404056,Office,https://www.cleanaway.com.au/location/cairns-greenbank-rd/,2024-07-26 00:07:47,QLD,4870
SVC1032,Cleanaway Campbellfield Contaminated Water and Workshop Waste Services,"126 Barry Road, Campbellfield, VIC, 3061",-37.66724202087309,144.96513168371325,Liquid waste services,https://www.cleanaway.com.au/location/campbellfield/,2024-07-26 00:07:49,VIC,3061
SVC1033,Campbellfield ERS,"84-86 Lara Way, Campbellfield, VIC, 3061",-37.66724293021068,144.96512690776305,Office,https://www.cleanaway.com.au/location/campbellfield-ers/,2024-07-26 00:07:54,VIC,3061
SVC1033,Campbellfield ERS,"84-86 Lara Way, Campbellfield, VIC, 3061",-37.66724293021068,144.96512690776305,Public Waste Drop-off,https://www.cleanaway.com.au/location/campbellfield-ers/,2024-07-26 00:07:54,VIC,3061
SVC1034,Cleanaway Chadwick - Solid Waste Services,"41 Simpson Street, Chadwick, WA, 6450",-33.83934506120301,121.8962367468948,Solid waste services,https://www.cleanaway.com.au/location/esperance-chadwick/,2024-07-26 00:08:01,WA,6450
SVC1034,Cleanaway Chadwick - Solid Waste Services,"41 Simpson Street, Chadwick, WA, 6450",-33.83934506120301,121.8962367468948,Office,https://www.cleanaway.com.au/location/esperance-chadwick/,2024-07-26 00:08:01,WA,6450
SVC1035,Cleanaway Clarinda Carroll Road Landfill,"Carroll Road, Clarinda, VIC, 3169",-37.932723984843136,145.09372689856437,Miscellaneous,https://www.cleanaway.com.au/location/clarinda/,2024-07-26 00:08:09,VIC,3169
SVC1036,Cleanaway Clayton South Resource Recovery Centre,"cnr Fraser Rd & Deals Rd, Clayton South, VIC, 3169",-37.94525778103721,145.12222022243114,Solid waste services,https://www.cleanaway.com.au/location/clayton-resource-recovery-centre/,2024-07-26 00:08:14,VIC,3169
SVC1037,Cleanaway Coffs Harbour - Solid Waste Depot,"754 Pacific Hwy, Boambee, NSW, 2450",-30.34413261205187,153.0689147374826,Solid waste services,https://www.cleanaway.com.au/location/coffs-harbour/,2024-07-26 00:08:23,NSW,2450
SVC1038,﻿Cleanaway Coolaroo Material Recovery Facility,"94 Maffra Street, Coolaroo, Vic, 3048",-37.65780523582004,144.94172450275,Solid waste services,https://www.cleanaway.com.au/location/coolaroo/,2024-07-26 00:08:30,VIC,3048
